0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.59,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00
0.82,0.00,0.00,0.00,0.00,0.00
